,Subjects,Test Session,Accuracy,Electrode Distance,xshift,yshift,Runs
0,1.0,1.0,0.2624125,20.0,-0.1435067355632782,0.6607652306556702,1.0
1,1.0,1.0,0.2548875,20.0,-0.10322695225477219,0.8572593331336975,2.0
2,1.0,1.0,0.2576875,20.0,-0.1797577440738678,0.5005730390548706,3.0
3,1.0,1.0,0.2580375,20.0,-0.2301337569952011,0.048494063317775726,4.0
4,1.0,1.0,0.2611125,20.0,-0.28969791531562805,-0.29403308033943176,5.0
5,1.0,1.0,0.258225,20.5,-0.3436933159828186,0.23648333549499512,1.0
6,1.0,1.0,0.2555625,20.5,-0.3208519518375397,0.4999101459980011,2.0
7,1.0,1.0,0.2626125,20.5,-0.45074462890625,-0.13464783132076263,3.0
8,1.0,1.0,0.3598625,20.5,-0.49987298250198364,-4.294288158416748,4.0
9,1.0,1.0,0.3590625,20.5,-0.5001385807991028,-4.500021457672119,5.0
10,1.0,1.0,0.311025,21.0,-0.2964771091938019,0.884943425655365,1.0
11,1.0,1.0,0.3252625,21.0,-0.2787661552429199,0.5000288486480713,2.0
12,1.0,1.0,0.314725,21.0,-0.2772061228752136,0.7617254853248596,3.0
13,1.0,1.0,0.31025,21.0,-0.27756401896476746,0.7591982483863831,4.0
14,1.0,1.0,0.3166125,21.0,-0.3476327359676361,0.8417530059814453,5.0
15,1.0,1.0,0.2856375,21.5,-0.1611872911453247,1.145270586013794,1.0
16,1.0,1.0,0.2932375,21.5,-0.15022249519824982,0.7321615219116211,2.0
17,1.0,1.0,0.295175,21.5,-0.17803595960140228,0.6509130001068115,3.0
18,1.0,1.0,0.286125,21.5,-0.15145671367645264,1.2547707557678223,4.0
19,1.0,1.0,0.3007,21.5,-0.15119965374469757,0.5355860590934753,5.0
20,1.0,1.0,0.2751125,22.0,-0.088577501475811,1.023590087890625,1.0
21,1.0,1.0,0.2739625,22.0,-0.1015247330069542,0.9064642786979675,2.0
22,1.0,1.0,0.2853625,22.0,-0.08366378396749496,0.5000399351119995,3.0
23,1.0,1.0,0.274,22.0,-0.03542002663016319,0.7424492835998535,4.0
24,1.0,1.0,0.277675,22.0,-0.1037738099694252,0.5729013085365295,5.0
25,1.0,1.0,0.313525,22.5,-0.49994540214538574,-0.35186445713043213,1.0
26,1.0,1.0,0.3159,22.5,-0.5000101923942566,-0.3559068739414215,2.0
27,1.0,1.0,0.3100875,22.5,-0.500075101852417,-0.3038146495819092,3.0
28,1.0,1.0,0.3089,22.5,-0.5002330541610718,0.07158950716257095,4.0
29,1.0,1.0,0.4684375,22.5,-0.500048816204071,-3.967973232269287,5.0
30,1.0,1.0,0.312425,23.0,-0.4854678213596344,0.4995421767234802,1.0
31,1.0,1.0,0.311325,23.0,-0.49990347027778625,0.005316440016031265,2.0
32,1.0,1.0,0.308425,23.0,-0.5001832842826843,0.38086527585983276,3.0
33,1.0,1.0,0.306225,23.0,-0.5000622272491455,0.1104687824845314,4.0
34,1.0,1.0,0.31275,23.0,-0.4998869001865387,-0.35610154271125793,5.0
35,1.0,1.0,0.3173375,23.5,-0.47984787821769714,0.42062604427337646,1.0
36,1.0,1.0,0.31475,23.5,-0.47826087474823,0.49990275502204895,2.0
37,1.0,1.0,0.3108,23.5,-0.4504341781139374,0.5001225471496582,3.0
38,1.0,1.0,0.317,23.5,-0.48935115337371826,0.5000188946723938,4.0
39,1.0,1.0,0.3151,23.5,-0.4995238780975342,0.4998488426208496,5.0
40,1.0,1.0,0.4198125,24.0,-0.4998411238193512,-4.499990463256836,1.0
41,1.0,1.0,0.4204125,24.0,-0.4999748468399048,-4.5000081062316895,2.0
42,1.0,1.0,0.4473125,24.0,-0.49964889883995056,-4.499894618988037,3.0
43,1.0,1.0,0.443525,24.0,-0.49982666969299316,-4.500022888183594,4.0
44,1.0,1.0,0.2653875,24.0,-0.4615694284439087,-0.48910239338874817,5.0
45,1.0,1.0,0.2598375,24.5,-0.36085522174835205,-0.3798634111881256,1.0
46,1.0,1.0,0.423425,24.5,-0.49993351101875305,-4.501389503479004,2.0
47,1.0,1.0,0.4206,24.5,-0.500327467918396,-4.499997615814209,3.0
48,1.0,1.0,0.44795,24.5,-0.4999963939189911,-4.500057220458984,4.0
49,1.0,1.0,0.393925,24.5,-0.500228762626648,-4.50007963180542,5.0
50,1.0,1.0,0.2679625,25.0,-0.2797606587409973,-0.37591537833213806,1.0
51,1.0,1.0,0.2659,25.0,-0.29702526330947876,-0.2558184862136841,2.0
52,1.0,1.0,0.267375,25.0,-0.16668160259723663,0.2832426130771637,3.0
53,1.0,1.0,0.265775,25.0,-0.31153759360313416,-0.38125988841056824,4.0
54,1.0,1.0,0.2684375,25.0,-0.25107237696647644,0.210657000541687,5.0
55,1.0,1.0,0.2863375,25.5,-0.5858393907546997,0.07124299556016922,1.0
56,1.0,1.0,0.284575,25.5,-0.6412808299064636,-0.1490786373615265,2.0
57,1.0,1.0,0.2690625,25.5,-0.580934464931488,1.071421504020691,3.0
58,1.0,1.0,0.2885625,25.5,-0.6411539912223816,-0.11880438774824142,4.0
59,1.0,1.0,0.3213,25.5,-0.540575385093689,-1.6168657541275024,5.0
60,1.0,1.0,0.266375,26.0,-0.43539881706237793,-0.4684872329235077,1.0
61,1.0,1.0,0.2602,26.0,-0.2648731768131256,0.09081707149744034,2.0
62,1.0,1.0,0.2377125,26.0,-0.5568959712982178,4.252026081085205,3.0
63,1.0,1.0,0.2590375,26.0,-0.2655681073665619,0.2383166402578354,4.0
64,1.0,1.0,0.2565625,26.0,-0.3580290973186493,0.18809784948825836,5.0
65,1.0,1.0,0.2472375,26.5,-0.26243337988853455,0.3412778377532959,1.0
66,1.0,1.0,0.253625,26.5,-0.27101051807403564,-0.4781195819377899,2.0
67,1.0,1.0,0.24755,26.5,-0.12011300027370453,0.2917308211326599,3.0
68,1.0,1.0,0.2349,26.5,-0.10911375284194946,1.115980625152588,4.0
69,1.0,1.0,0.225025,26.5,-0.4684712290763855,3.4888851642608643,5.0
70,1.0,1.0,0.3033625,27.0,-0.6982332468032837,0.13455897569656372,1.0
71,1.0,1.0,0.3091375,27.0,-0.7268543839454651,0.3083217740058899,2.0
72,1.0,1.0,0.4596125,27.0,-0.5001846551895142,-3.5000152587890625,3.0
73,1.0,1.0,0.3096875,27.0,-0.7412487864494324,0.4487619996070862,4.0
74,1.0,1.0,0.3128125,27.0,-0.7285465598106384,-0.46278825402259827,5.0
75,1.0,1.0,0.2994,27.5,-0.6513695120811462,0.5000777244567871,1.0
76,1.0,1.0,0.29715,27.5,-0.6588975787162781,0.2800282835960388,2.0
77,1.0,1.0,0.503725,27.5,-0.49998965859413147,-4.010473251342773,3.0
78,1.0,1.0,0.2925625,27.5,-0.6451766490936279,0.7542561888694763,4.0
79,1.0,1.0,0.301675,27.5,-0.6441836357116699,0.5784976482391357,5.0
80,1.0,1.0,0.41755,28.0,-0.5546656250953674,-4.4999003410339355,1.0
81,1.0,1.0,0.4013625,28.0,-0.5004120469093323,-4.500013828277588,2.0
82,1.0,1.0,0.2599125,28.0,-0.43947091698646545,0.3995916247367859,3.0
83,1.0,1.0,0.2621,28.0,-0.9074904322624207,-0.2287956178188324,4.0
84,1.0,1.0,0.249675,28.0,-0.32499662041664124,1.3491435050964355,5.0
85,1.0,1.0,0.44705,28.5,-0.5594422817230225,-4.499634265899658,1.0
86,1.0,1.0,0.430575,28.5,-0.5371810793876648,-4.499717712402344,2.0
87,1.0,1.0,0.4755,28.5,-0.5004516243934631,-4.499823093414307,3.0
88,1.0,1.0,0.4101125,28.5,-0.5899708867073059,-4.497381210327148,4.0
89,1.0,1.0,0.4682125,28.5,-0.501223087310791,-4.4999189376831055,5.0
90,1.0,1.0,0.45155,29.0,-0.546872079372406,-4.464910984039307,1.0
91,1.0,1.0,0.2648,29.0,-1.0099793672561646,0.18541035056114197,2.0
92,1.0,1.0,0.2710375,29.0,-1.1009480953216553,0.24094738066196442,3.0
93,1.0,1.0,0.2636625,29.0,-1.0810914039611816,0.4997048079967499,4.0
94,1.0,1.0,0.2679125,29.0,-1.0244427919387817,-0.2652631402015686,5.0
95,1.0,1.0,0.2755375,29.5,-0.2019365280866623,-0.34493139386177063,1.0
96,1.0,1.0,0.2430875,29.5,-0.647402822971344,4.583263874053955,2.0
97,1.0,1.0,0.2718875,29.5,-0.08430527150630951,0.4102132022380829,3.0
98,1.0,1.0,0.2789125,29.5,-0.11469504237174988,0.12494747340679169,4.0
99,1.0,1.0,0.2780125,29.5,-0.07381124049425125,0.479562908411026,5.0
100,1.0,1.0,0.3968625,30.0,-0.6096941828727722,-4.635257244110107,1.0
101,1.0,1.0,0.3944125,30.0,-0.5151723027229309,-4.913741588592529,2.0
102,1.0,1.0,0.4057125,30.0,-0.5431863069534302,-4.636954307556152,3.0
103,1.0,1.0,0.4041375,30.0,-0.562041699886322,-4.514933109283447,4.0
104,1.0,1.0,0.3836,30.0,-0.5038187503814697,-4.679051876068115,5.0
105,1.0,1.0,0.4164375,30.5,-0.7230613231658936,-4.500733375549316,1.0
106,1.0,1.0,0.4084625,30.5,-0.6978177428245544,-4.499982833862305,2.0
107,1.0,1.0,0.413575,30.5,-0.7445047497749329,-4.80201530456543,3.0
108,1.0,1.0,0.4072,30.5,-0.7514119148254395,-4.726692199707031,4.0
109,1.0,1.0,0.41565,30.5,-0.6946808695793152,-4.738513469696045,5.0
110,1.0,1.0,0.2725125,31.0,-0.38900333642959595,1.3271311521530151,1.0
111,1.0,1.0,0.2776625,31.0,-0.3484310805797577,1.2422600984573364,2.0
112,1.0,1.0,0.2729,31.0,-0.38404735922813416,1.3539090156555176,3.0
113,1.0,1.0,0.27,31.0,-0.38241639733314514,1.2121307849884033,4.0
114,1.0,1.0,0.2753625,31.0,-0.3186437487602234,1.234744668006897,5.0
115,1.0,1.0,0.2719375,31.5,-0.17950691282749176,1.4084365367889404,1.0
116,1.0,1.0,0.25875,31.5,-0.2858923673629761,1.798585057258606,2.0
117,1.0,1.0,0.2765375,31.5,-0.15666331350803375,1.3708407878875732,3.0
118,1.0,1.0,0.26115,31.5,-0.2286834716796875,1.9591139554977417,4.0
119,1.0,1.0,0.269775,31.5,-0.1654539853334427,1.4191405773162842,5.0
120,1.0,1.0,0.267725,32.0,-0.14065437018871307,0.9008640050888062,1.0
121,1.0,1.0,0.2745,32.0,-0.14708176255226135,0.43233397603034973,2.0
122,1.0,1.0,0.274575,32.0,-0.21464642882347107,0.16398853063583374,3.0
123,1.0,1.0,0.262275,32.0,-0.15561723709106445,1.374189853668213,4.0
124,1.0,1.0,0.26335,32.0,-0.22718404233455658,1.2001346349716187,5.0
125,1.0,1.0,0.292975,32.5,-1.251054286956787,-0.21665184199810028,1.0
126,1.0,1.0,0.296225,32.5,-1.2331076860427856,-0.3980911374092102,2.0
127,1.0,1.0,0.291975,32.5,-1.2711719274520874,0.028939882293343544,3.0
128,1.0,1.0,0.2911375,32.5,-1.2668883800506592,0.27559709548950195,4.0
129,1.0,1.0,0.2919875,32.5,-1.2946186065673828,0.058675266802310944,5.0
130,1.0,1.0,0.2800875,33.0,-1.0990132093429565,-0.19024476408958435,1.0
131,1.0,1.0,0.2842625,33.0,-1.1393356323242188,0.1325489729642868,2.0
132,1.0,1.0,0.2764625,33.0,-1.105543613433838,-0.13474141061306,3.0
133,1.0,1.0,0.2801375,33.0,-1.1530340909957886,0.17700916528701782,4.0
134,1.0,1.0,0.4374625,33.0,-0.7118415236473083,-4.324958324432373,5.0
135,1.0,1.0,0.2639125,33.5,-0.9376426339149475,-0.03449216112494469,1.0
136,1.0,1.0,0.442075,33.5,-0.7892131209373474,-4.323186874389648,2.0
137,1.0,1.0,0.2725125,33.5,-0.9836159944534302,-0.13761958479881287,3.0
138,1.0,1.0,0.269175,33.5,-0.9776659607887268,-0.31366097927093506,4.0
139,1.0,1.0,0.2719875,33.5,-1.0191599130630493,-0.19151808321475983,5.0
140,1.0,1.0,0.4206625,34.0,-0.8087228536605835,-4.75721549987793,1.0
