,Subjects,Accuracy,MV Accuracy
0,1.0,0.2556125,0.3097625
1,2.0,0.4236375,0.5557
2,3.0,0.0936125,0.052075
3,4.0,0.4234875,0.51395
4,5.0,0.513925,0.6591
5,6.0,0.4994875,0.6138375
6,7.0,0.4651125,0.5982875
7,8.0,0.09375,0.1074625
8,9.0,0.2069,0.140875
