,Subjects,Accuracy,MV Accuracy
0,001,0.962125,1.0
1,002,0.873875,1.0
2,003,0.909875,0.99975
3,004,0.865875,0.99425
4,005,0.738875,0.945375
5,006,0.93525,1.0
6,007,0.827875,0.940375
7,008,0.906,1.0
8,009,0.84725,0.927125
9,010,0.792875,0.983875
10,011,0.78025,0.990375
11,012,0.828,0.9685
12,013,0.8315,0.9695
13,014,0.73925,0.917125
14,015,0.835875,0.990125
15,016,0.743625,0.93325
16,017,0.899875,1.0
17,018,0.8575,0.999625
