,Subjects,Accuracy,MV Accuracy
0,001,0.96325,1.0
1,002,0.88675,1.0
2,003,0.8955,0.99975
3,004,0.851875,0.917875
4,005,0.7615,0.9735
5,006,0.932875,1.0
6,007,0.831,0.94175
7,008,0.9095,1.0
8,009,0.874375,1.0
9,010,0.796,0.984625
10,011,0.771125,0.980125
11,012,0.8265,0.96425
12,013,0.828125,0.9695
13,014,0.7185,0.913375
14,015,0.838875,0.9945
15,016,0.74525,0.909
16,017,0.90325,1.0
17,018,0.87825,0.999125
