,Subjects,Accuracy,MV Accuracy
0,1.0,0.248025,0.3023875
1,2.0,0.3371625,0.3842375
2,3.0,0.1103875,0.047975
3,4.0,0.40125,0.4568125
4,5.0,0.4497625,0.5515375
5,6.0,0.279125,0.2647875
6,7.0,0.3020625,0.3598375
7,8.0,0.0681875,0.0107125
8,9.0,0.1816625,0.279875
