,Subjects,Accuracy,MV Accuracy
0,001,0.963375,1.0
1,002,0.864625,0.998875
2,003,0.918875,0.999875
3,004,0.84675,0.933125
4,005,0.759375,0.995875
5,006,0.939875,1.0
6,007,0.82825,0.950625
7,008,0.9115,1.0
8,009,0.89725,1.0
9,010,0.791,1.0
10,011,0.764375,0.935875
11,012,0.82275,0.96225
12,013,0.824625,0.9695
13,014,0.73275,0.91325
14,015,0.838875,0.98575
15,016,0.754875,0.989625
16,017,0.913125,1.0
17,018,0.86025,1.0
