,Subjects,Accuracy,MV Accuracy
0,001,0.971,1.0
1,002,0.884125,1.0
2,003,0.91225,0.997625
3,004,0.895,0.996875
4,005,0.764875,0.96375
5,006,0.952625,1.0
6,007,0.84225,0.945625
7,008,0.91825,1.0
8,009,0.901375,1.0
9,010,0.79675,0.99225
10,011,0.788625,0.99275
11,012,0.824625,0.979875
12,013,0.85875,0.99975
13,014,0.79975,0.995625
14,015,0.85675,0.983625
15,016,0.764625,0.97025
16,017,0.902375,1.0
17,018,0.868375,0.995
